question,answering
"如何查看 Model 3 最新的車主手冊資訊？","您可以透過輕觸車輛觸控螢幕上的應用程式啟動工具，並選取「手冊」應用程式來查看最新且專屬於您車輛的車主手冊。[source: 309]"
"如果《車主手冊》與「發行說明」的資訊衝突，應以哪個為準？","如果《車主手冊》中有關如何使用您的車輛的內容和「發行說明」中的資訊相衝突，請以「發行說明」優先。[source: 309]"
"如何提供《車主手冊》的回饋意見？","若要傳達本文件中的任何錯誤與疏漏，請傳送電子郵件至：ownersmanualfeedback@tesla.com。[source: 309]"
"如何聯絡 Tesla 處理 Model 3 的相關問題？","如果您對 Model 3 有任何疑問或問題，請致電 0809-007-518 聯絡 Tesla。[source: 309]"
"Model 3 的充電埠在哪裡？","充電埠位於車輛左後方，整合在尾燈組的一個蓋板後面。[source: 327]"
"如何從車內開啟 Model 3 的車門？","若要從車內開啟車門，請按下內部車門把手頂部的按鈕，同時推開車門。[source: 328, 347]"
"方向盤上的左滾輪按鈕有哪些功能？","左滾輪按鈕可用於多種功能，例如調整音量、播放/暫停多媒體、跳過曲目、調整雨刷速度（需先按雨刷鈕啟動），以及執行自訂功能。[source: 328, 390]"
"方向盤上的右滾輪按鈕主要控制什麼？","右滾輪按鈕主要控制 Autopilot 自動輔助駕駛功能，例如啟動自動輔助轉向、調整最高速度和跟車距離。[source: 328, 390]"
"Model 3 的觸控螢幕有哪些主要區域？","觸控螢幕主要包含頂端狀態列、導航區、車輛狀態顯示區、駕駛模式條、控制選單、恆溫控制調整區、多媒體播放器捷徑、我的應用程式區、應用程式啟動工具及音量控制等。[source: 330, 331]"
"如何自訂觸控螢幕底部的「我的應用程式」區域？","輕觸並按住「我的應用程式」區域中的任何圖示進入自訂模式，然後從應用程式匣中拖曳常用的應用程式或控制項目至此區域即可。[source: 331]"
"觸控螢幕上的 HomeLink 圖示何時會出現？","只有在 Model 3 偵測到已設定的 HomeLink 在範圍內，且觸控螢幕尚未顯示 HomeLink 畫面或快顯畫面時，才會顯示在觸控螢幕狀態列上。[source: 331]"
"如何啟用或停用哨兵模式？","在 Model 3 處於停車狀態時，輕觸觸控螢幕狀態列上的哨兵模式圖示可手動啟用或停用單次駕駛的哨兵模式。若要設定自動啟用，請前往「控制」>「安全」>「哨兵模式」。[source: 331]"
"如何重新啟動 Model 3 的觸控螢幕？","請在車輛停止並處於停車檔 (P) 時，同時按住方向盤的兩個滾輪按鈕直到觸控螢幕變暗，數秒後 Tesla 標誌會出現，表示正在重新啟動。[source: 332]"
"後排觸控螢幕提供哪些功能給後座乘客？","後排觸控螢幕能讓後座乘客控制後恆溫系統（電源、風扇速度、氣流方向）、座椅加熱器、調整副駕駛座位置、多媒體播放、觀看視訊、玩遊戲、配對藍牙耳機及調整音量等。[source: 332, 333]"
"如何從前排觸控螢幕控制後排螢幕？","從前觸控螢幕的底部列開啟後方螢幕的遙控應用程式，即可控制後排螢幕的音訊、影片和恆溫控制。也可輕觸「控制」>「螢幕」>「鎖定後螢幕」來鎖定。[source: 333]"
"如何調整 Model 3 的螢幕顯示設定？","輕觸「控制」>「顯示」可調整外觀（明亮/黑暗/自動）、減少藍光、亮度、啟用螢幕清潔模式、變更語言、時間格式、電力/距離/溫度/胎壓單位等。[source: 333]"
"如何為我的 Model 3 命名？","輕觸觸控螢幕右側 Model 3 影像下方的「控制」>「軟體」>「為車輛命名」。輸入新名稱後輕觸「儲存」。[source: 333]"
"轉讓 Model 3 所有權前，如何清除個人資料？","為了安全起見，請在從帳戶中移除車輛之前，先輕觸「控制」>「維修」>「出廠值重設」以執行出廠值重設，並依提示輸入 Tesla 帳戶憑證進行驗證。[source: 333]"
"Model 3 有多少個 USB 連接埠？分別在哪裡？","Model 3 共有四個 USB 連接埠。一個 USB-C 在中控台後方置物空間，兩個 USB-C 在中控台後車廂出風口下方，一個 USB-A 在手套箱內。[source: 334]"
"哪個 USB 連接埠最適合用於儲存哨兵模式和行車記錄器影像？","位於手套箱內的 USB-A 連接埠最適合儲存哨兵模式和行車記錄器影像，因為位置較安全。[source: 334]"
"如何使用 Model 3 的無線手機充電器？","將支援 Qi 功能的手機放置在前中控台的兩個充電板之一即可充電。手機需直接接觸充電板，充電前請移除手機與充電器間的任何物體（金屬、NFC 卡等）。[source: 334]"
"Model 3 的低電壓電源插座在哪裡？其供電限制為何？","低電壓電源插座位於中控置物台的置物空間中。該插座適用於需要持續電流高達 12A（峰值 16A）的配件。[source: 335]"
"觸控螢幕上的紅色煞車指示燈亮起代表什麼？","若非初次啟動車輛時亮起，表示偵測到煞車系統故障或煞車油量低。請立即聯絡 Tesla，並在安全情況下穩定踩住煞車停車。[source: 336]"
"觸控螢幕上的琥珀色 ABS 指示燈亮起代表什麼？","若非初次啟動時短暫閃爍，表示 ABS 發生故障且無法運作。煞車系統仍可運作，但煞車距離可能增加。請聯絡 Tesla 並謹慎駕駛。[source: 336]"
"觸控螢幕上的藍色雪花圖示代表什麼？","表示因天氣寒冷而無法使用電池中儲存的部分電量，充電率也可能受限。可使用行動應用程式開啟恆溫控制加熱電池，待電池加熱後雪花便會消失。[source: 337]"
"如何判讀觸控螢幕上的電量表？","電量表顯示即時用電情況。上半部（變暗或變白）表示電池輸出的電力（加速時），綠色部分表示再生煞車回送至電池的電力，灰色部分表示正規煞車系統使用的電力。[source: 338, 402]"
"如何變更電量顯示方式（百分比或預估距離）？","輕觸觸控螢幕車輛狀態區域顯示的電量值，即可在剩餘電量百分比和預估可行駛距離之間切換。也可透過「控制」>「顯示」>「電量顯示」來變更。[source: 338]"
"Model 3 支援哪些種類的鑰匙？","Model 3 支援手機鑰匙（透過藍牙與手機通訊）、卡片鑰匙（使用 RFID 感應）以及遙控鑰匙（若有選配，使用按鈕操作）。[source: 342]"
"使用手機作為 Model 3 鑰匙有哪些便利性？","手機鑰匙支援自動上鎖與解鎖功能。當您靠近車輛時，手機藍牙訊號會被偵測到，拉動車門把手即可解鎖；離開時車門會自動上鎖（需開啟「離車後自動上鎖」功能）。[source: 342]"
"如何使用卡片鑰匙解鎖或上鎖 Model 3？","將卡片鑰匙放置在駕駛座側門柱 B 柱上大約三分之一位置的讀卡機感應。聽到提示音、看到車燈閃爍或後視鏡動作，即表示完成上鎖或解鎖。[source: 342]"
"卡片鑰匙需要感應多久才能被讀取？","您可能需要將卡片鑰匙實際輕觸無線手機充電器（用於啟動車輛）或駕駛座側門柱（用於解鎖/上鎖），並手持貼住感應器一至兩秒。[source: 342]"
