question,answering
"如何檢視車輛觸控螢幕上的《車主手冊》？","請輕觸應用程式啟動工具並選取「手冊」應用程式，即可檢視車輛觸控螢幕上的《車主手冊》。"
"如何查看軟體更新後的新功能資訊？","只要選擇「手冊」應用程式的「發行說明」索引標籤，或輕觸「控制」>「軟體」>「發行說明」即可隨時查看。"
"如果《車主手冊》內容和「發行說明」資訊相衝突，應以哪個為準？","請以「發行說明」優先。"
"如果發現手冊中有錯誤或疏漏，應如何回報？","請傳送電子郵件至：ownersmanualfeedback@tesla.com。"
"安全資訊可以在哪裡找到？","您可以在觸控螢幕上的 Model 3《車主手冊》中找到安全資訊。"
"如何取得 Model 3 的詳細資訊或註冊 Tesla 帳戶？","請移至您所在地區的 Tesla 網站，然後登入您的 Tesla 帳戶或者進行註冊以取得帳戶。"
"如果對 Model 3 有任何疑問或問題，應如何聯絡 Tesla？","請致電 0809-007-518 聯絡 Tesla。"
"手冊中的圖例和產品規格是否完全準確？","本文件提供的圖例僅供展示用途。根據車輛選配、軟體版本與市場區域而定，車輛中觸控螢幕上顯示的資訊可能會有些微不同。規格與說明已於列印時驗證，但 Tesla 保留修改權利。"
"卡片鑰匙感測器位於車輛外部的哪個位置？","位於駕駛座側的 B 柱上。"
"充電埠位於車輛外部的哪個位置？","位於車輛左後方，整合在尾燈組中。"
"前行李廂如何開啟？","透過觸控螢幕或行動應用程式開啟前蓋。"
"後視鏡頭位於車輛外部的哪個位置？","位於後行李廂蓋上方，車牌燈附近。"
"如何從車內開啟車門？","按下內部車門把手頂部的車門開啟按鈕。"
"盲點警示燈在哪裡？","位於車門內側，靠近後視鏡的位置。"
"方向盤上的滾輪按鈕有哪些？","有左滾輪按鈕（多功能）和右滾輪按鈕（主要用於 Autopilot）。"
"喇叭如何作用？","按下方向盤中央區域。"
"觸控螢幕位於車輛內部何處？","位於前座儀表板中央。"
"備用駕駛模式選擇器 (P R N D) 在哪裡？","在車頂中央控制台。"
"車廂鏡頭在哪裡？","位於內部後視鏡上方。"
"危險警告閃光燈的按鈕在哪裡？","位於車頂中央控制台區域，靠近車內頂燈。"
"無線手機充電器和卡片鑰匙感應器在哪裡？","位於中控台前方。"
"手套箱如何開啟？","透過觸控螢幕或語音指令開啟。"
"後排觸控螢幕在哪裡？","位於前中控台的後方，供後排乘客使用。"
"後車門手動解鎖裝置在哪裡？","位於後車門門邊飾板內，供緊急情況使用。"
"駕駛時使用觸控螢幕調整設定有何警告？","為將駕駛時的分心情況降至最低並確保安全，請避免在車輛移動期間使用觸控螢幕調整設定。"
"可以在觸控螢幕上加裝保護貼嗎？為什麼？","不建議加裝，否則可能導致意外輸入、延遲回應、靜電放電損壞等問題，且造成的損壞不在保固範圍內。"
"觸控螢幕頂端狀態列顯示什麼？","顯示車輛控制和狀態圖示。"
"如何使用觸控螢幕換檔？","從觸控螢幕邊緣向副駕駛座方向滑動以顯示駕駛模式條，然後選擇 P、R、N 或 D。"
"如何存取車輛的各種控制功能與偏好設定？","輕觸觸控螢幕下方的「控制」圖示。"
"如何在觸控螢幕上搜尋特定設定？","輕觸「控制」畫面最上方的「搜尋」列。"
"如何自訂觸控螢幕底部列的「我的應用程式」區域？","輕觸並按住該區域中的任何圖示或空白處進入自訂模式，然後從應用程式匣拖曳所需項目至此區域。"
"如何從狀態列快速啟用/停用哨兵模式？","在車輛處於停車狀態時，輕觸狀態列上的哨兵模式圖示。"
"如何重新啟動觸控螢幕？","切換至停車檔(P)，同時按住方向盤上的兩個滾動按鈕直到螢幕變暗，等待約30秒讓螢幕重新啟動。"
"重新啟動觸控螢幕時應注意什麼？","請僅在車輛停止並處於停車檔 (P) 時重新啟動。期間車輛狀態、安全警告、備用鏡頭等資訊不會顯示。"
"如何從前方控制後排觸控螢幕？","從前觸控螢幕的底部列開啟後方螢幕的遙控應用程式。"
"如何鎖定後排觸控螢幕？","從前觸控螢幕輕觸「控制」>「螢幕」>「鎖定後螢幕」。"
"如何調整觸控螢幕顯示的亮度與外觀？","輕觸「控制」>「顯示」，可調整外觀（黑暗/明亮/自動）、亮度、減少藍光等。"
"螢幕清潔模式有什麼功用？如何啟用與離開？","啟用時螢幕會變暗並暫時停用觸控功能以利清潔。遵循畫面上指示離開。"
"如何更改觸控螢幕的語言？","輕觸「控制」>「顯示」>「觸控螢幕語言」。車輛需處於停車檔。"
"Joe 降音模式是什麼？如何啟用？","降低與重要安全問題無關的所有警示音的音量。輕觸「控制」>「安全」>「Joe 降音模式」啟用。"
"如何為我的 Model 3 命名？","輕觸「控制」>「軟體」>「為車輛命名」，輸入新名稱後儲存。"
"轉讓 Model 3 所有權前應如何清除個人資料？","為了安全起見，請先輕觸「控制」>「維修」>「出廠值重設」以執行出廠值重設。"
"車輛上有哪些 USB 連接埠？功率如何？","共四個 USB-C。中控台後方一個 (約 42W)，後座出風口下方兩個 (最高 65W)，手套箱內一個 USB-A (用於隨身碟)。部分車型中控台 USB 僅供充電。"
"手套箱內的 USB-A 連接埠主要用途是什麼？","儲存哨兵模式和行車記錄器影像，也可播放音訊檔案。"
"使用 USB 連接埠連接裝置時應注意什麼？","請使用符合 USB 3.0 規範的纜線。請勿使用 USB 集線器。"
"無線手機充電器在哪裡？功率多少？","整合至前中控台，可提供最高 15W 電力。"
"使用無線手機充電器前應注意什麼？","需移除手機與充電器間的物體(硬幣、金屬物等)及NFC卡(鑰匙卡、信用卡等)，以免損壞。"
"無線充電器何時會為手機充電？","只要車輛電源開啟（觸控螢幕開啟且您在車內），將手機放置其上就會充電。"
"低電壓電源插座在哪裡？規格如何？","位於中控台置物空間內，適用於需要持續電流高達 12A (峰值 16A) 的配件。"
